ID,Eesti keel,Inglise keel,Saksa keel,Vene keel,Soome keel,Seletus,,Kirjeldus
1,,,,,,,,
2,"3- faasiline vahelduvvoolu asünkroonmootor, asünkroonmootor",three-phase AC motor, three-phase motor,Drehstrommotor m,трёхфазный асинхронный двигатель,kolmivaihemoottori,Elektrimasin 3-faasilises elektrivõrgus,
3,3D laserskaneerimine,3D laser scanning,3D-Laser scanning,трехмерное лазерное сканирование,3D-laserskannaus,Füüsiliste objektide digitaalsete  pinna punktide määramise tehnoloogia laseri abil,,
4,3D pind,"3D, 3-D, three dimensional surface","3D, 3-D, dreidimensional Fläche f",трехмерная поверхность,3D-pinta,"Mahtu omavate objektide pind, mis on määratud 3 ortogonaalse koordinaadiga",,
5,3-teljeline CNC masin,3-axis CNC maschine,CNC-Maschine mit 3 Achsen f,3-х координатный станок с ЧПУ,kolmeakselinen CNC-kone,"Arvprogrammjuhtimisega masin, kus masina tööorgani liikumine 3 koordinaattelje suunas on numbriliselt juhitav",,
6,aamissepp,cooper,Böttcher m,"бондарь м, бочар м",tynnyrintekijä,Aamide (ka muude vaatide) tegija,,
7,aastarõnga laius,bait,Jahrringbreite f,ширина ж годичных колец,vuosiluston tiheys,Aastarõnga radiaalmõõdet iseloomustav suurus,,
8,aastarõngas,annual ring,"Jahresring m, Jahrring m",годичный слой м,Vuosirengas, vuosilusto,"Kasvurõngas, mis vastab aastasele kasvuperioodile",
9,abietiinhape,abietic acid,Abietinsäure f,абиетиновая кислота ж,abietiinihappo,Vaikhape puiduvaigu koostises,,
10,abiseade,auxiliary equipment,Hilfsausrüstung f,вспомогательное оборудование ср,"lisälaitteet, lisävarusteet, apulaitteisto",Põhiseadet teenindav seade,,
11,abivahendid,accessories,Hilfsgeräte n pl,вспомогательные средства ср мн,lisävarusteet,Põhitegevust või -seadet teenindavad vahendid,,
12,abrasiiv,"abrasive, abrasive material","Schleifmaterial n, Schleifmittel n","абразивный матерал, абразив","hioma-aine, hankausjauhe",Peeneteraline suure kõvadusega aine ,,"<webview  src=\""http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Schuurpapier2.JPG/174px-Schuurpapier2.JPG\"" style=\""width:174px; height:145px\""></webview>"
13,absoluutkuiv,"absolutely dry, ovendry, bone dry",darrtrocken,абсолютно сухой,"absoluuttisen kuiva, täyskuiva","Materjal, millel puudub niiskus.",,
14,absoluutniiskus,absolute humidity,Absolutfeuchtigkeit f,влажность ж абсолютная,absoluuttinen kosteus, Ühes m3 õhus  leiduva veeauru mass grammides (g/m3),,
15,absorbtsioonkolonn,absorption tower,Absorbtionskolonne f,абсорбционная колонна ж,absorptiotorni,"Tornikujuline täidisega mahuti, milles toimub gaaside (nt SO2) lahustamine vees",,
16,adhesioonivaba paber,"abhesive paper, antiadhesive paper","Abhesivpapier n, Nichtklebendes Papier n",антиадгезионная бумага ж,"kiinnitymätön paperi, irrokepaperi",Adhesiooni vähendava ainega (nt silikoonõliga) töödeldud paber,,
17,aditiivühend,additive compound,additive Verbindung f,аддитивное соединение ср,additivyhdiste,Liidetav keemiline ühend,,
18,adsorptsioon,adsorption,Adsorption f,адсорбция ж,adsorptio,"Gaasi, gaasisegu-  või lahusekomponendi kogunemine tahke aine või vedeliku pinnale",,
19,aerofontäänkuivati,flash drier,Aerofontänetrockner m,аэрофонтанная сушилка ж,"hiutalekuivuri, hiutalekuivatin",Gaasivoolu liikumissuunas suureneva ristlõikega torukuivati.,,
20,aerosiil,"aerosol, colloidal, SiO2",Aerosil n,аэросил м,aerosiili,Peendispersne ränidioksiid,,
21,aerosool,aerosol,Aerosol n,аэрозоль м,aerosol,"Gaas, milles hõljuvad peenimad tahked või vedelad osakesed",,
22,agregaat,"assembly, set",Aggregat n,агрегат м,"setti, kalusto, täydellinen sarja",Otstarbeka töö ja konstruktsiooni huvides omavahel seostatud eri tüüpi masinate (ka aparaatide vm seadmete) kompleks,,
23,Ah,ampere-hour,Ampere-Stunde,ампер-час,ampeeri tunnin,"Ampertund, tähistab aku mahtuvust",,
24,aiamööbel,"garden furniture, lawn furniture, outdoor furniture",Gartenmöbel n,садовая мебель ж,pihakaluste,Ilmastikukindel välitingimustes kasutatav teisaldatav mööbel,,
25,airmix-pihustus,air-mix coating,Air-mix Spritzen,"""аир-микс"" распыление",air-mix ruiskutus,"Pealekandmise viis , mis on kombinatsioon kõrgsurve ja õhkpihustamisest.",,
26,ajakirjapaber,magazine paper,"Zeitschriftenpapier n, Magazinpapier n",журнальная бумага ж,aikakauslehtipaperi,Ajakirjade trükkimiseks kasutatav paber,,
27,ajalehepaber,newsprint,Zeitungsdruckpapier n,газетная бумага ж,sanomalehtipaperi,Peamiselt puitmassist või vanapaberimassist valmistatav trükipaber,,
28,"ajam, masinaajam, mehaaniline ajam","drive, gear",Antrieb m,привод,käyttökoneisto,Masinat või mehhanismi käitav seade,,
29,ajanorm,"base time, normal time",Normalzeit f,норма ж времени,ajanmäärä,Toodanguühiku valmistamiseks ettenähtud aeg,,
30,aknafreesid,cutters for windows production,Systemfräswerkzeuge pl für Fensterprofile pl,фрезы мн для оконных профиль,,Lõikeriistad aknaprofiilide lõikamiseks,,
31,aknalaud,"windowsill, windowledge","Fensterbrett n, Fensterbank f",подоконник м,ikkuna lauta,Akna siseküljel paiknev rõhtlaud,,
32,"aknapiit, leng",architrave,Fensterfutter n,оконная коробка ж,,"Aknaploki väline karp, millesse kinnituvad aknaraamid",,
33,aknaplokk,window unit,Fensterblock m,оконный блок м,,Akna paigaldusvalmis täiskoost,,
34,"aknapross, prossipulk",glazing bar,Fensterprosse f,горбылёк м,,Aknaraami klaase liigendav vahepuu,,
35,aknaraam,window frame,Fensterrahmen m,оконный переплёт м,ikkunan kehys,Akna klaasitav raamelement (koost),,
36,akrüülviimistlus,acrylic finish,Akrylfinish n,акрильная отделка ж,akryyli pintakäsittely,Viimistlus polü-akrülaatide baasil,,
37,aktiivkahjustus,active timber  infestation,aktiver Insektenbefall m,активное повреждение ср,[tuholaisten] vahingonteko,"Kahjustus, mille puhul putukad on elus ja jätkavad puidu kahjustamist",,
38,aktiivkloor,active chlorine,aktives Chlor n,активный хлор м,hyötykloori,Keemilistes reaktsioonides osalev kloor,,
39,aktiivleelis,active alkali,aktives Alkali,активная щелочь ж,vaikuttava alkali,Sulfaatkeedu keemilistes reaktsioonides osalevad keeduleelise aktiivsed komponendid NaOH + Na2S,,
40,aktiivleelise kogus,alkali ratio,Alkaligehalt m,количество ср активной щелочи,alkali määrä,Sulfaatkeeduks kasutatav aktiivleelis väljendatuna protsentides absoluutkuivast puidust,,
